endTime,artistName,trackName,msPlayed,id,genre,language
2022-01-08 20:02,The PropheC,Kina Chir,1780,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-02-11 08:48,The PropheC,Kina Chir,1936,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-02-11 08:48,The PropheC,Kina Chir,1944,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-02-20 13:22,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-03-11 12:35,The PropheC,Kina Chir,138753,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-03-14 12:09,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-03-14 12:58,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-03-14 13:00,The PropheC,Kina Chir,8090,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-03-15 11:02,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-03-16 13:14,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-03-24 04:56,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-04-04 18:11,The PropheC,Kina Chir,1761,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-04-04 18:44,The PropheC,Kina Chir,1652,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-04-17 06:22,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-04-17 11:05,The PropheC,Kina Chir,60170,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-04-17 11:25,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-04-18 07:57,The PropheC,Kina Chir,185476,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-04-28 15:33,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-05-27 05:50,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-06-01 10:05,The PropheC,Close,2158,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2021-12-21 14:22,The Vamps,Somebody To You,183051,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2021-12-26 14:12,The Vamps,Somebody To You,183051,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2021-12-26 15:17,The Vamps,Somebody To You,183051,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2021-12-27 13:45,The Vamps,Somebody To You,183051,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2021-12-30 16:54,The Vamps,Somebody To You,5203,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2021-12-30 17:51,The Vamps,Somebody To You,62720,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2021-12-30 18:12,The Vamps,Somebody To You,161976,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2021-12-30 18:55,The Vamps,Somebody To You,4412,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-01-02 12:02,The Vamps,Somebody To You,0,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-01-09 08:35,The Vamps,Somebody To You,147799,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-02-11 06:11,The Vamps,Somebody To You,185097,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-02-11 06:57,The Vamps,Somebody To You,185097,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-02-12 08:52,The Vamps,Somebody To You,2934,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-02-14 06:32,The Vamps,Somebody To You,185097,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-02-15 15:23,The Vamps,Somebody To You,185097,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-02-27 20:37,The Vamps,Somebody To You,47624,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-02-27 21:07,The Vamps,Somebody To You,2463,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-03-01 07:18,The Vamps,Somebody To You,885,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-03-02 06:24,The Vamps,Somebody To You,185097,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-03-02 06:58,The Vamps,Somebody To You,185097,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-03-04 07:22,The Vamps,Somebody To You,185097,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-03-04 18:49,The Vamps,Somebody To You,185097,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-03-05 11:49,The Vamps,Somebody To You,185097,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-03-06 07:51,The Vamps,Somebody To You,185097,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-03-10 08:57,The Vamps,Somebody To You,185097,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-03-11 08:50,The Vamps,Somebody To You,63746,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-03-11 08:58,The Vamps,Somebody To You,121351,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
2022-03-11 09:43,The Vamps,Somebody To You,185097,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English
